Day , cco , ccoextr , ccoexts , ccx , cgt , cgtpcst , cgttlm , hou , mld , mlx , neb , nex , okc , okctlm , okx
70 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   3  ,   3  ,   2  ,   0  ,   0  ,   0  ,   2  , 
71 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   6  ,   2  ,   1  ,   0  ,   2  ,   0  ,   0  , 
72 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   0  ,   4  ,   7  ,   0  ,   0  ,   0  ,   0  ,   0  , 
73 ,   1  ,   0  ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   4  ,   3  ,   6  ,   0  ,   0  ,   0  ,   0  , 
74 ,   1  ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   3  ,   0  ,   0  ,   0  ,   0  ,   0  , 
75 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   0  ,   0  ,   2  ,   1  ,   0  , 
76 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   4  ,   3  ,   2  ,   0  ,   1  ,   0  ,   0  , 
77 ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   11  ,   0  ,   2  ,   1  ,   1  ,   3  ,   2  , 
78 ,   0  ,   0  ,   1  ,   2  ,   0  ,   0  ,   2  ,   0  ,   4  ,   4  ,   0  ,   0  ,   0  ,   0  ,   0  , 
79 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   0  ,   5  ,   4  ,   3  ,   0  ,   0  ,   0  ,   0  , 
80 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   4  ,   3  ,   0  ,   0  ,   0  ,   0  , 
81 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   3  ,   0  ,   9  ,   4  ,   2  ,   0  ,   0  ,   0  ,   0  , 
82 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   4  ,   0  ,   0  ,   0  ,   0  ,   1  , 
83 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   4  ,   0  ,   2  ,   0  ,   2  ,   1  ,   0  , 
84 ,   4  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   3  ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  , 
85 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   4  ,   2  ,   0  ,   1  ,   0  ,   0  , 
86 ,   1  ,   0  ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   8  ,   0  ,   2  ,   2  ,   0  ,   0  ,   0  , 
87 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   3  ,   2  ,   1  ,   0  ,   0  ,   0  ,   0  , 
88 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   12  ,   10  ,   1  ,   0  ,   2  ,   0  ,   0  , 
89 ,   3  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   3  ,   0  ,   3  ,   0  ,   0  ,   0  ,   0  , 
90 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   0  ,   0  ,   0  ,   0  ,   1  , 
91 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   4  ,   4  ,   0  ,   0  ,   0  ,   0  ,   0  , 
92 ,   4  ,   0  ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   2  ,   0  ,   0  ,   0  ,   0  , 
93 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   5  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  , 
94 ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   5  ,   3  ,   3  ,   0  ,   0  ,   0  ,   0  , 
95 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   5  ,   3  ,   1  ,   0  ,   0  ,   0  ,   0  , 
96 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   0  ,   6  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  , 
97 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   2  ,   2  ,   0  ,   0  ,   0  ,   0  , 
98 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   2  ,   0  ,   0  ,   0  ,   4  ,   0  ,   0  , 
99 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   3  ,   0  ,   8  ,   6  ,   2  ,   0  ,   3  ,   0  ,   0  , 
100 ,   2  ,   2  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   4  ,   10  ,   1  ,   0  ,   2  ,   0  ,   0  , 
101 ,   1  ,   0  ,   0  ,   2  ,   0  ,   0  ,   0  ,   0  ,   6  ,   5  ,   0  ,   0  ,   1  ,   0  ,   0  , 
102 ,   0  ,   2  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   5  ,   1  ,   4  ,   2  ,   2  ,   0  ,   0  , 
103 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   4  ,   1  ,   0  ,   0  ,   1  ,   0  , 
104 ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   5  ,   4  ,   3  ,   0  ,   1  ,   0  ,   0  , 
105 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   5  ,   4  ,   1  ,   0  ,   0  ,   0  ,   0  , 
106 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   0  ,   4  ,   9  ,   1  ,   0  ,   0  ,   1  ,   1  , 
107 ,   1  ,   0  ,   0  ,   1  ,   0  ,   0  ,   0  ,   0  ,   5  ,   3  ,   2  ,   0  ,   2  ,   0  ,   0  , 
108 ,   1  ,   0  ,   0  ,   1  ,   0  ,   0  ,   1  ,   0  ,   7  ,   3  ,   0  ,   0  ,   3  ,   0  ,   0  , 
